name,side,route,run,status,url,finalUrl,duration,isSlow,gotoError,bodyReadError,bodyLength,divCount,hasUrl,hasBody,hasDivs,consoleErrors,pageErrors,failedRequests,badResponses,ignoredConsoleErrors,ignoredFailedRequests,ignoredBadResponses
"salon calendar run 3","salon","calendar",3,"PASS","http://localhost:5173/#/salon/totem-demo-salon/calendar","http://localhost:5173/#/salon/totem-demo-salon/calendar",2509,false,"","",1200,317,true,true,true,0,0,0,0,1,0,0
"salon finance run 3","salon","finance",3,"PASS","http://localhost:5173/#/salon/totem-demo-salon/finance","http://localhost:5173/#/salon/totem-demo-salon/finance",2427,false,"","",1663,118,true,true,true,0,0,0,0,1,0,0
"salon services run 3","salon","services",3,"PASS","http://localhost:5173/#/salon/totem-demo-salon/services","http://localhost:5173/#/salon/totem-demo-salon/services",2428,false,"","",964,70,true,true,true,0,0,0,0,4,1,0
"salon clients run 3","salon","clients",3,"PASS","http://localhost:5173/#/salon/totem-demo-salon/clients","http://localhost:5173/#/salon/totem-demo-salon/clients",2306,false,"","",534,52,true,true,true,0,0,0,0,1,0,0
"salon settings run 3","salon","settings",3,"PASS","http://localhost:5173/#/salon/totem-demo-salon/settings","http://localhost:5173/#/salon/totem-demo-salon/settings",2346,false,"","",1464,91,true,true,true,0,0,0,0,4,1,0
"salon money run 3","salon","money",3,"PASS","http://localhost:5173/#/salon/totem-demo-salon/money","http://localhost:5173/#/salon/totem-demo-salon/money",2501,false,"","",1383,112,true,true,true,0,0,0,0,1,0,0
"salon settlements run 3","salon","settlements",3,"PASS","http://localhost:5173/#/salon/totem-demo-salon/settlements","http://localhost:5173/#/salon/totem-demo-salon/settlements",2511,false,"","",973,85,true,true,true,0,0,0,0,1,0,0
"salon payouts run 3","salon","payouts",3,"PASS","http://localhost:5173/#/salon/totem-demo-salon/payouts","http://localhost:5173/#/salon/totem-demo-salon/payouts",2624,false,"","",1214,123,true,true,true,0,0,0,0,4,1,0
"salon transactions run 3","salon","transactions",3,"PASS","http://localhost:5173/#/salon/totem-demo-salon/transactions","http://localhost:5173/#/salon/totem-demo-salon/transactions",2572,false,"","",4164,414,true,true,true,0,0,0,0,1,0,0
"salon contracts run 3","salon","contracts",3,"PASS","http://localhost:5173/#/salon/totem-demo-salon/contracts","http://localhost:5173/#/salon/totem-demo-salon/contracts",2417,false,"","",2180,61,true,true,true,0,0,0,0,1,0,0
